speed,indo_time,arrival,pred_label
23330,2024-08-09 05:43:07+07:00,0,0
23281,2024-08-09 05:43:08+07:00,0,0
23212,2024-08-09 05:43:09+07:00,0,0
23262,2024-08-09 05:43:10+07:00,0,0
23274,2024-08-09 05:43:11+07:00,0,0
23289,2024-08-09 05:43:12+07:00,0,0
23344,2024-08-09 05:43:13+07:00,0,0
23228,2024-08-09 05:43:14+07:00,0,0
23313,2024-08-09 05:43:15+07:00,0,0
23268,2024-08-09 05:43:16+07:00,0,0
23242,2024-08-09 05:43:17+07:00,0,0
23352,2024-08-09 05:43:18+07:00,0,0
23265,2024-08-09 05:43:19+07:00,0,0
23220,2024-08-09 05:43:20+07:00,0,0
23303,2024-08-09 05:43:21+07:00,0,0
23338,2024-08-09 05:43:22+07:00,0,0
23295,2024-08-09 05:43:23+07:00,0,0
23333,2024-08-09 05:43:24+07:00,0,0
23244,2024-08-09 05:43:25+07:00,0,0
23224,2024-08-09 05:43:26+07:00,0,0
23268,2024-08-09 05:43:27+07:00,0,0
23258,2024-08-09 05:43:28+07:00,0,0
23302,2024-08-09 05:43:29+07:00,0,0
23309,2024-08-09 05:43:30+07:00,0,0
23250,2024-08-09 05:43:31+07:00,0,0
23264,2024-08-09 05:43:32+07:00,0,0
23257,2024-08-09 05:43:33+07:00,0,0
23305,2024-08-09 05:43:34+07:00,0,0
23336,2024-08-09 05:43:35+07:00,0,0
